,0
0,AMXL.MX
1,GFINBURO.MX
2,MXN
3,ALSEA.MX
4,LIVEPOLC-1.MX
5,BBAJIOO.MX
6,Q.MX
7,GCC.MX
8,VESTA.MX
9,BOLSAA.MX
10,MEGACPO.MX
11,GCARSOA1.MX
12,CUERVO.MX
13,WALMEX.MX
14,ALFAA.MX
15,PE&OLES.MX
16,PINFRA.MX
17,AC.MX
18,TLEVISACPO.MX
19,GMEXICOB.MX
20,FEMSAUBD.MX
21,GFNORTEO.MX
22,OMAB.MX
23,GAPB.MX
24,ELEKTRA.MX
25,CEMEXCPO.MX
26,ASURB.MX
27,KIMBERA.MX
28,GRUMAB.MX
29,KOFUBL.MX
30,BIMBOA.MX
31,ORBIA.MX
