,Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
142,2021-08-23,125.94999694824219,13.8100004196167,39.65999984741211,18.780000686645508,348.7200012207031,38.540000915527344,49.93000030517578,41.18000030517578,16.209999084472656,47.5099983215332,1604.6700439453125,175.42999267578125,218.72999572753906,63.68000030517578,166.89999389648438,19.040000915527344,127.94000244140625,88.55999755859375,226.58999633789062,33.849998474121094,117.33999633789062,89.43000030517578,71.48999786376953,120.81999969482422,56.380001068115234,277.5199890136719,149.6699981689453,95.20999908447266,51.68000030517578,38.04999923706055,71.77999877929688
143,2021-08-24,125.16999816894531,13.850000381469727,39.540000915527344,18.719999313354492,358.95001220703125,37.86000061035156,49.29999923706055,40.93000030517578,16.40999984741211,46.66999816894531,1606.8699951171875,174.2899932861328,221.57000732421875,64.11000061035156,167.1199951171875,18.959999084472656,125.58000183105469,88.20999908447266,225.60000610351562,33.369998931884766,116.72000122070312,89.81999969482422,70.20999908447266,121.16999816894531,55.310001373291016,277.2799987792969,150.25,95.12999725341797,52.0,37.16999816894531,72.62000274658203
144,2021-08-25,126.30000305175781,14.109999656677246,39.400001525878906,18.770000457763672,357.2900085449219,37.5099983215332,49.029998779296875,41.15999984741211,16.709999084472656,47.47999954223633,1605.18994140625,174.61000061035156,223.25999450683594,64.56999969482422,169.44000244140625,18.799999237060547,128.3300018310547,90.4000015258789,224.27000427246094,33.9900016784668,116.55999755859375,87.83000183105469,70.16000366210938,121.0199966430664,55.209999084472656,277.8599853515625,149.99000549316406,94.06999969482422,51.099998474121094,37.4900016784668,73.01000213623047
145,2021-08-26,126.16999816894531,14.050000190734863,39.060001373291016,19.06999969482422,356.9599914550781,37.02000045776367,49.68000030517578,40.849998474121094,16.399999618530273,48.220001220703125,1600.68994140625,174.2899932861328,223.38999938964844,64.05000305175781,166.27999877929688,18.799999237060547,129.11000061035156,89.08999633789062,226.4499969482422,34.02000045776367,115.9000015258789,88.3499984741211,70.02999877929688,121.19000244140625,56.2400016784668,277.1600036621094,149.52000427246094,94.18000030517578,50.880001068115234,37.150001525878906,72.56999969482422
146,2021-08-27,126.2300033569336,14.15999984741211,39.650001525878906,19.110000610351562,361.07000732421875,37.540000915527344,49.70000076293945,40.599998474121094,16.709999084472656,48.29999923706055,1600.6500244140625,173.60000610351562,230.5500030517578,64.51000213623047,164.22999572753906,19.020000457763672,128.42999267578125,90.29000091552734,226.1699981689453,34.5,114.7699966430664,89.33999633789062,69.7699966430664,122.45999908447266,56.97999954223633,280.1400146484375,149.9499969482422,94.0,51.58000183105469,37.0099983215332,71.30000305175781
147,2021-08-30,126.66999816894531,14.229999542236328,39.7400016784668,19.440000534057617,359.6099853515625,37.959999084472656,49.81999969482422,40.72999954223633,16.450000762939453,48.2400016784668,1600.2099609375,173.44000244140625,227.33999633789062,64.86000061035156,164.66000366210938,19.239999771118164,128.52999877929688,92.73999786376953,224.91000366210938,34.59000015258789,114.95999908447266,90.4800033569336,70.04000091552734,122.13999938964844,56.97999954223633,283.3999938964844,150.7100067138672,94.66999816894531,51.689998626708984,37.400001525878906,70.66999816894531
148,2021-08-31,129.3699951171875,14.100000381469727,39.2599983215332,19.770000457763672,360.42999267578125,38.439998626708984,50.81999969482422,41.599998474121094,16.5,51.189998626708984,1600.300048828125,174.8699951171875,233.8800048828125,68.2699966430664,162.02999877929688,19.229999542236328,132.5800018310547,93.55000305175781,229.3699951171875,35.470001220703125,116.2699966430664,89.05000305175781,69.93000030517578,121.2300033569336,57.34000015258789,284.5899963378906,150.0,95.25,52.939998626708984,37.56999969482422,71.45999908447266
149,2021-09-01,127.77999877929688,14.0600004196167,40.15999984741211,18.989999771118164,366.42999267578125,38.7400016784668,50.650001525878906,41.189998626708984,16.209999084472656,49.5,1600.5400390625,169.32000732421875,232.00999450683594,65.36000061035156,161.05999755859375,19.059999465942383,128.05999755859375,90.58000183105469,227.64999389648438,34.36000061035156,114.12999725341797,88.33000183105469,69.79000091552734,123.12999725341797,57.11000061035156,282.7699890136719,150.3000030517578,96.20999908447266,51.27000045776367,37.459999084472656,71.29000091552734
150,2021-09-02,124.63999938964844,14.100000381469727,42.0099983215332,19.040000915527344,366.3500061035156,38.630001068115234,50.369998931884766,41.130001068115234,16.15999984741211,50.54999923706055,1601.949951171875,171.25,231.52999877929688,64.33999633789062,158.58999633789062,19.06999969482422,126.27999877929688,90.25,226.25999450683594,34.54999923706055,114.86000061035156,89.31999969482422,70.13999938964844,122.27999877929688,58.54999923706055,284.1600036621094,151.27999877929688,95.79000091552734,51.56999969482422,37.25,69.68000030517578
151,2021-09-03,123.76000213623047,13.880000114440918,40.959999084472656,18.770000457763672,365.30999755859375,38.290000915527344,49.40999984741211,41.709999084472656,16.110000610351562,49.97999954223633,1599.7099609375,170.02999877929688,231.82000732421875,65.30999755859375,158.27999877929688,18.989999771118164,125.91000366210938,91.16999816894531,226.07000732421875,34.20000076293945,113.58999633789062,88.05999755859375,69.61000061035156,122.43000030517578,58.4900016784668,286.1199951171875,151.4199981689453,95.66999816894531,50.06999969482422,37.09000015258789,69.63999938964844
